id,run,pop,herb,rate,temp,rep,surv,biomass
230,1,A101,meso+P450,13.1,ambient,2,0,0
231,1,A101,meso+P450,13.1,ambient,3,1,0.53
232,1,A101,meso+P450,13.1,ambient,4,0,0
233,1,A101,meso+P450,26.3,ambient,1,1,0.253
234,1,A101,meso+P450,26.3,ambient,2,0,0
235,1,A101,meso+P450,26.3,ambient,3,0,0
236,1,A101,meso+P450,26.3,ambient,4,1,0.243
237,1,A101,meso+P450,53,ambient,1,0,0
238,1,A101,meso+P450,53,ambient,2,1,0.206
239,1,A101,meso+P450,53,ambient,3,0,0
240,1,A101,meso+P450,53,ambient,4,0,0
241,1,A101,meso+P450,105.1,ambient,1,0,0
242,1,A101,meso+P450,105.1,ambient,2,0,0
243,1,A101,meso+P450,105.1,ambient,3,0,0
244,1,A101,meso+P450,105.1,ambient,4,0,0
245,1,A101,meso+P450,210.2,ambient,1,0,0
246,1,A101,meso+P450,210.2,ambient,2,0,0
247,1,A101,meso+P450,210.2,ambient,3,0,0
248,1,A101,meso+P450,210.2,ambient,4,0,0
249,1,A101,meso+P450,420.4,ambient,1,0,0
250,1,A101,meso+P450,420.4,ambient,2,0,0
251,1,A101,meso+P450,420.4,ambient,3,0,0
252,1,A101,meso+P450,420.4,ambient,4,1,0.094
253,1,A101,meso+P450,840.8,ambient,1,0,0
254,1,A101,meso+P450,840.8,ambient,2,0,0
255,1,A101,meso+P450,840.8,ambient,3,0,0
256,1,A101,meso+P450,840.8,ambient,4,0,0
