run,pop,herb,order,rate,rep,ve,biomass
1,AT2-R,cloransulam,1,3x,6,1,0
1,AT2-R,cloransulam,1,3x,7,,
1,AT2-R,cloransulam,1,3x,8,,
1,AT4-R,control,0,1x,1,10,2.185
1,AT4-R,control,0,1x,2,10,2.074
1,AT4-R,control,0,1x,3,10,1.349
1,AT4-R,control,0,1x,4,10,1.843
1,AT4-R,cloransulam,1,1x,1,9,2.33
1,AT4-R,cloransulam,1,1x,2,9,1.933
1,AT4-R,cloransulam,1,1x,3,9,1.853
1,AT4-R,cloransulam,1,1x,4,7,1.43
1,AT4-R,cloransulam,1,1x,5,8,1.828
1,AT4-R,cloransulam,1,1x,6,8,1.464
1,AT4-R,cloransulam,1,1x,7,2,0.323
1,AT4-R,cloransulam,1,1x,8,8,1.291
1,AT4-R,cloransulam,1,3x,1,8,2.09
1,AT4-R,cloransulam,1,3x,2,4,0.825
1,AT4-R,cloransulam,1,3x,3,9,1.176
1,AT4-R,cloransulam,1,3x,4,8,1.771
1,AT4-R,cloransulam,1,3x,5,5,0.264
1,AT4-R,cloransulam,1,3x,6,5,1.373
1,AT4-R,cloransulam,1,3x,7,8,1.891
1,AT4-R,cloransulam,1,3x,8,8,2.208
1,AT5-R,control,0,1x,1,10,1.453
1,AT5-R,control,0,1x,2,10,1.177
1,AT5-R,control,0,1x,3,10,1.894
1,AT5-R,control,0,1x,4,10,1.764
1,AT5-R,cloransulam,1,1x,1,7,1.239
1,AT5-R,cloransulam,1,1x,2,7,1.256
1,AT5-R,cloransulam,1,1x,3,2,0.216
1,AT5-R,cloransulam,1,1x,4,7,1.339
1,AT5-R,cloransulam,1,1x,5,2,0.128
1,AT5-R,cloransulam,1,1x,6,1,0
1,AT5-R,cloransulam,1,1x,7,2,0.161
1,AT5-R,cloransulam,1,1x,8,1,0
1,AT5-R,cloransulam,1,3x,1,7,2.024
1,AT5-R,cloransulam,1,3x,2,2,0.227
1,AT5-R,cloransulam,1,3x,3,7,0.867
1,AT5-R,cloransulam,1,3x,4,4,0.687
1,AT5-R,cloransulam,1,3x,5,1,0
1,AT5-R,cloransulam,1,3x,6,2,0.104
1,AT5-R,cloransulam,1,3x,7,1,0
1,AT5-R,cloransulam,1,3x,8,8,1.855
1,AT6-R,control,0,1x,1,10,2.077
1,AT6-R,control,0,1x,2,10,0.807
1,AT6-R,control,0,1x,3,,
1,AT6-R,control,0,1x,4,,
1,AT6-R,cloransulam,1,1x,1,7,0.581
1,AT6-R,cloransulam,1,1x,2,7,0.343
1,AT6-R,cloransulam,1,1x,3,2,0.215
1,AT6-R,cloransulam,1,1x,4,,
1,AT6-R,cloransulam,1,1x,5,,
1,AT6-R,cloransulam,1,1x,6,,
1,AT6-R,cloransulam,1,1x,7,,
1,AT6-R,cloransulam,1,1x,8,,
1,AT6-R,cloransulam,1,3x,1,,
1,AT6-R,cloransulam,1,3x,2,,
1,AT6-R,cloransulam,1,3x,3,,
1,AT6-R,cloransulam,1,3x,4,,
1,AT6-R,cloransulam,1,3x,5,,
1,AT6-R,cloransulam,1,3x,6,,
1,AT6-R,cloransulam,1,3x,7,,
1,AT6-R,cloransulam,1,3x,8,,
1,AT8-R,control,0,1x,1,10,2.249
1,AT8-R,control,0,1x,2,10,1.945
1,AT8-R,control,0,1x,3,10,2.196
1,AT8-R,control,0,1x,4,,
1,AT8-R,cloransulam,1,1x,1,2,0.102
1,AT8-R,cloransulam,1,1x,2,7,0.81
1,AT8-R,cloransulam,1,1x,3,2,0.117
1,AT8-R,cloransulam,1,1x,4,,
1,AT8-R,cloransulam,1,1x,5,,
1,AT8-R,cloransulam,1,1x,6,,
1,AT8-R,cloransulam,1,1x,7,,
1,AT8-R,cloransulam,1,1x,8,,
1,AT8-R,cloransulam,1,3x,1,,
