run,pop,Herbicide,Rate,rep,count,biomass,count_red,bio_red
1,A39,Metribuzin,0.5x,1,0,0,0.99,1
1,A39,Metribuzin,0.5x,2,0,0,0.99,1
1,A39,Metribuzin,0.5x,3,0,0,0.99,1
1,A39,Metribuzin,0.5x,4,0,0,0.99,1
1,A39,Atrazine,1x,1,9,0.508,0.72,0.091234347
1,A39,Atrazine,1x,2,4,0.393,0.88,0.296958855
1,A39,Atrazine,1x,3,7,0.761,0.78,1.00E-10
1,A39,Atrazine,1x,4,3,0.166,0.91,0.703041145
1,A39,Metribuzin,1x,1,0,0,0.99,1
1,A39,Metribuzin,1x,2,0,0,0.99,1
1,A39,Metribuzin,1x,3,0,0,0.99,1
1,A39,Metribuzin,1x,4,0,0,0.99,1
1,A39,Atrazine,3x,1,0,0,0.99,1
1,A39,Atrazine,3x,2,0,0,0.99,1
1,A39,Atrazine,3x,3,0,0,0.99,1
1,A39,Atrazine,3x,4,0,0,0.99,1
1,A39,Metribuzin,3x,1,0,0,0.99,1
1,A39,Metribuzin,3x,2,0,0,0.99,1
1,A39,Metribuzin,3x,3,0,0,0.99,1
1,A39,Metribuzin,3x,4,0,0,0.99,1
1,A41,Atrazine,0.5x,1,21,0.873,0.06,1.00E-10
1,A41,Atrazine,0.5x,2,14,0.704,0.37,0.179248033
1,A41,Atrazine,0.5x,3,10,0.338,0.55,0.605945788
1,A41,Atrazine,0.5x,4,2,0.029,0.91,0.966190615
1,A41,Metribuzin,0.5x,1,1,0.057,0.96,0.933547071
1,A41,Metribuzin,0.5x,2,7,0.145,0.69,0.830953075
1,A41,Metribuzin,0.5x,3,0,0,0.99,1
1,A41,Metribuzin,0.5x,4,0,0,0.99,1
1,A41,Atrazine,1x,1,4,0.217,0.82,0.747012533
1,A41,Atrazine,1x,2,4,0.008,0.82,0.990673273
1,A41,Atrazine,1x,3,2,0.068,0.91,0.920722821
1,A41,Atrazine,1x,4,3,0.005,0.87,0.994170796
1,A41,Metribuzin,1x,1,0,0,0.99,1
1,A41,Metribuzin,1x,2,0,0,0.99,1
1,A41,Metribuzin,1x,3,0,0,0.99,1
1,A41,Metribuzin,1x,4,0,0,0.99,1
1,A41,Atrazine,3x,1,2,0.004,0.91,0.995336637
1,A41,Atrazine,3x,2,4,0.029,0.82,0.966190615
1,A41,Atrazine,3x,3,0,0,0.99,1
1,A41,Atrazine,3x,4,2,0.037,0.91,0.956863888
1,A41,Metribuzin,3x,1,0,0,0.99,1
1,A41,Metribuzin,3x,2,0,0,0.99,1
1,A41,Metribuzin,3x,3,0,0,0.99,1
1,A41,Metribuzin,3x,4,0,0,0.99,1
1,A44,Atrazine,0.5x,1,3,0.189,0.89,0.711560473
1,A44,Atrazine,0.5x,2,4,0.192,0.86,0.706982068
1,A44,Atrazine,0.5x,3,0,0,0.99,1
1,A44,Atrazine,0.5x,4,0,0,0.99,1
1,A44,Metribuzin,0.5x,1,1,0.0001,0.96,0.999847387
1,A44,Metribuzin,0.5x,2,0,0,0.99,1
1,A44,Metribuzin,0.5x,3,0,0,0.99,1
1,A44,Metribuzin,0.5x,4,0,0,0.99,1
1,A44,Atrazine,1x,1,8,0.141,0.72,0.784814956
1,A44,Atrazine,1x,2,0,0,0.99,1
1,A44,Atrazine,1x,3,4,0.161,0.86,0.754292255
1,A44,Atrazine,1x,4,1,0.011,0.96,0.983212514
1,A44,Metribuzin,1x,1,0,0,0.99,1
1,A44,Metribuzin,1x,2,0,0,0.99,1
1,A44,Metribuzin,1x,3,0,0,0.99,1
1,A44,Metribuzin,1x,4,0,0,0.99,1
1,A44,Atrazine,3x,1,0,0,0.99,1
1,A44,Atrazine,3x,2,0,0,0.99,1
1,A44,Atrazine,3x,3,1,0.002,0.96,0.99694773
1,A44,Atrazine,3x,4,0,0,0.99,1
1,A44,Metribuzin,3x,1,0,0,0.99,1
1,A44,Metribuzin,3x,2,0,0,0.99,1
1,A44,Metribuzin,3x,3,0,0,0.99,1
1,A44,Metribuzin,3x,4,0,0,0.99,1
1,A45,Atrazine,0.5x,1,4,0.264,0.56,1.00E-10
1,A45,Atrazine,0.5x,2,8,0.238,0.11,1.00E-10
1,A45,Atrazine,0.5x,3,6,0.171,0.33,0.217391304
1,A45,Atrazine,0.5x,4,14,0.112,0.01,0.487414188
1,A45,Metribuzin,0.5x,1,0,0,0.99,1
1,A45,Metribuzin,0.5x,2,3,0.045,0.67,0.794050343
1,A45,Metribuzin,0.5x,3,0,0,0.99,1
1,A45,Metribuzin,0.5x,4,0,0,0.99,1
1,A45,Atrazine,1x,1,3,0.13,0.67,0.405034325
1,A45,Atrazine,1x,2,11,0.881,0.01,1.00E-10
1,A45,Atrazine,1x,3,7,0.668,0.22,1.00E-10
1,A45,Atrazine,1x,4,4,0.006,0.56,0.972540046
1,A45,Metribuzin,1x,1,0,0,0.99,1
1,A45,Metribuzin,1x,2,0,0,0.99,1
1,A45,Metribuzin,1x,3,0,0,0.99,1
1,A45,Metribuzin,1x,4,0,0,0.99,1
1,A45,Atrazine,3x,1,0,0,0.99,1
1,A45,Atrazine,3x,2,0,0,0.99,1
1,A45,Atrazine,3x,3,0,0,0.99,1
1,A45,Atrazine,3x,4,2,0.023,0.78,0.894736842
1,A45,Metribuzin,3x,1,0,0,0.99,1
1,A45,Metribuzin,3x,2,0,0,0.99,1
1,A45,Metribuzin,3x,3,0,0,0.99,1
1,A45,Metribuzin,3x,4,0,0,0.99,1
1,A47,Atrazine,0.5x,1,0,0,0.99,1
1,A47,Atrazine,0.5x,2,1,0.033,0.95,0.9764538
1,A47,Atrazine,0.5x,3,1,0.192,0.95,0.863003924
1,A47,Atrazine,0.5x,4,0,0,0.99,1
1,A47,Metribuzin,0.5x,1,2,0.055,0.90,0.960756333
1,A47,Metribuzin,0.5x,2,2,0.002,0.90,0.998572958
1,A47,Metribuzin,0.5x,3,2,0.011,0.90,0.992151267
1,A47,Metribuzin,0.5x,4,2,0.28,0.90,0.800214056
1,A47,Atrazine,1x,1,0,0,0.99,1
1,A47,Atrazine,1x,2,1,0.001,0.95,0.999286479
1,A47,Atrazine,1x,3,1,0.042,0.95,0.970032109
1,A47,Atrazine,1x,4,1,0.044,0.95,0.968605066
1,A47,Metribuzin,1x,1,0,0,0.99,1
1,A47,Metribuzin,1x,2,0,0,0.99,1
1,A47,Metribuzin,1x,3,0,0,0.99,1
1,A47,Metribuzin,1x,4,0,0,0.99,1
1,A47,Atrazine,3x,1,0,0,0.99,1
1,A47,Atrazine,3x,2,0,0,0.99,1
1,A47,Atrazine,3x,3,0,0,0.99,1
1,A47,Atrazine,3x,4,0,0,0.99,1
1,A47,Metribuzin,3x,1,0,0,0.99,1
1,A47,Metribuzin,3x,2,0,0,0.99,1
1,A47,Metribuzin,3x,3,0,0,0.99,1
1,A47,Metribuzin,3x,4,0,0,0.99,1
1,A57,Atrazine,0.5x,1,1,0.014,0.95,0.970634505
1,A57,Atrazine,0.5x,2,2,0.035,0.91,0.926586261
1,A57,Atrazine,0.5x,3,0,0,0.99,1
1,A57,Atrazine,0.5x,4,0,0,0.99,1
1,A57,Metribuzin,0.5x,1,0,0,0.99,1
1,A57,Metribuzin,0.5x,2,0,0,0.99,1
1,A57,Metribuzin,0.5x,3,0,0,0.99,1
1,A57,Metribuzin,0.5x,4,0,0,0.99,1
1,A57,Atrazine,1x,1,1,0.001,0.95,0.997902465
1,A57,Atrazine,1x,2,0,0,0.99,1
1,A57,Atrazine,1x,3,0,0,0.99,1
