run,pop,herb,rate,rep,count,biomass,count_red,bio_red
2,A8,atrazine,0.5x,1,8,0.312,0.5428571430,0.7178385710
2,A8,atrazine,0.5x,2,3,0.337,0.8285714290,0.6952294820
2,A8,atrazine,0.5x,3,4,0.679,0.7714285710,0.3859371470
2,A8,atrazine,0.5x,4,22,1.438,0.0000000001,0.0000000001
2,A8,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
2,A8,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
2,A8,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
2,A8,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
2,A9,atrazine,0.5x,1,21,1.351,0.3868613140,0.2814785270
2,A9,atrazine,0.5x,2,4,0.675,0.8832116790,0.6410051860
2,A9,atrazine,0.5x,3,25,2.185,0.2700729930,0.0000000001
2,A9,atrazine,0.5x,4,11,0.513,0.6788321170,0.7271639410
2,A9,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
2,A9,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
2,A9,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
2,A9,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
2,A11,atrazine,0.5x,1,7,0.652,0.4166666670,0.5666334330
2,A11,atrazine,0.5x,2,0,0,0.9999999999,0.9999999999
2,A11,atrazine,0.5x,3,2,0.027,0.8333333330,0.9820538390
2,A11,atrazine,0.5x,4,1,0.391,0.9166666670,0.7401129940
2,A11,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
2,A11,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
2,A11,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
2,A11,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
2,A17,atrazine,0.5x,1,5,1.114,0.7619047620,0.3553240740
2,A17,atrazine,0.5x,2,11,1.737,0.4761904760,0.0000000001
2,A17,atrazine,0.5x,3,36,1.685,0.0000000001,0.0248842590
2,A17,atrazine,0.5x,4,11,0.741,0.4761904760,0.5711805560
2,A17,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
2,A17,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
2,A17,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
2,A17,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
2,A18,atrazine,0.5x,1,1,0.009,0.9633027520,0.9923550650
2,A18,atrazine,0.5x,2,5,0.568,0.8165137620,0.5175196430
2,A18,atrazine,0.5x,3,5,0.144,0.8165137620,0.8776810360
2,A18,atrazine,0.5x,4,11,0.946,0.5963302750,0.1964323640
2,A18,metribuzin,0.5x,1,0,0,0.9999999999,0.9999999999
2,A18,metribuzin,0.5x,2,0,0,0.9999999999,0.9999999999
2,A18,metribuzin,0.5x,3,0,0,0.9999999999,0.9999999999
2,A18,metribuzin,0.5x,4,0,0,0.9999999999,0.9999999999
2,A20,atrazine,0.5x,1,18,1.365,0.1724137930,0.1715976330
2,A20,atrazine,0.5x,2,17,1.336,0.2183908050,0.1891973900
